MW,PI,A%,R%,N%,D%,K%,E%,protein_ID,length
34095.0271,8.375039482116701,0.04040404040404041,0.050505050505050504,0.03367003367003367,0.06397306397306397,0.08080808080808081,0.06060606060606061,sp|P06493|CDK1_HUMAN,297
40589.148199999996,8.843595695495605,0.06552706552706553,0.042735042735042736,0.045584045584045586,0.05128205128205129,0.09971509971509972,0.07692307692307693,sp|P17612|KAPCA_HUMAN,351
62093.52,8.58211193084717,0.049001814882032674,0.04718693284936479,0.045372050816696916,0.06352087114337568,0.10707803992740471,0.07985480943738657,sp|P19525|E2AK2_HUMAN,551
33929.0981,8.803689765930176,0.06375838926174497,0.05369127516778524,0.02684563758389262,0.05369127516778524,0.07046979865771812,0.05704697986577181,sp|P24941|CDK2_HUMAN,298
112902.2098,5.480040550231934,0.05236656596173212,0.04229607250755287,0.050352467270896276,0.04229607250755287,0.05337361530715005,0.07754279959718026,sp|P36888|FLT3_HUMAN,993
42777.0313,8.9656343460083,0.05913978494623656,0.06182795698924731,0.04838709677419355,0.05645161290322581,0.07795698924731183,0.06182795698924731,sp|P50750|CDK9_HUMAN,372
36937.918099999995,6.021772956848144,0.05828220858895706,0.06748466257668712,0.02147239263803681,0.0705521472392638,0.05521472392638037,0.06748466257668712,sp|Q00534|CDK6_HUMAN,326
33304.071,7.568532371520997,0.0547945205479452,0.0547945205479452,0.04452054794520548,0.07191780821917808,0.07876712328767123,0.05821917808219178,sp|Q00535|CDK5_HUMAN,292
130964.09069999999,8.692030525207517,0.07846410684474123,0.038397328881469114,0.04006677796327212,0.03005008347245409,0.039232053422370614,0.037562604340567615,sp|Q9H2X6|HIPK2_HUMAN,1198
51874.3165,5.79765682220459,0.08602150537634408,0.06021505376344086,0.025806451612903226,0.06236559139784946,0.05376344086021505,0.07526881720430108,sp|Q9HBH9|MKNK2_HUMAN,465
